week,word,pos,clue
"Week 35","body","n.","身體"
"Week 36","leg","n.","腿"
"Week 36","foot","n.","腳 / 足"
"Week 36","feet","n.","腳（複數） / 足（複數）"
"Week 36","hand","n.","手"
"Week 36","head","n.","頭 / 頭部"
"Week 36","hair","n.","頭髮 / 毛髮"
"Week 37","ear","n.","耳朵"
"Week 37","eye","n.","眼睛"
"Week 37","nose","n.","鼻子"
"Week 37","mouth","n.","嘴巴 / 嘴"
"Week 37","his","pron./adj.","他的"
"Week 37","her","pron./adj.","她的 / 她"
"Week 38","hair","n.","頭髮 / 毛髮"
"Week 38","arms","n.","手臂（複數） / 胳膊"
"Week 38","jump","v.","跳 / 跳躍"
"Week 38","run","v.","跑 / 奔跑"
"Week 38","strong","adj.","強壯的 / 強的"
"Week 38","long","adj.","長的 / 長久的"
"Week 39","move","v.","移動 / 搬動"
"Week 39","dance","v./n.","跳舞 / 舞蹈"
"Week 39","with","prep.","和...一起 / 用 / 帶有"
"Week 39","sculpture","n.","雕塑 / 雕刻作品"
"Week 39","can","v.","能 / 可以"
"Week 39","paint","v./n.","畫畫 / 油漆 / 顏料"
"Week 40","make","v.","做 / 製作"
"Week 40","animal","n.","動物"
"Week 40","moon","n.","月亮"
"Week 40","wash","v.","洗"
"Week 40","brush","v./n.","刷 / 刷子"
"Week 40","teeth","n.","牙齒"
"Week 41","banana","n.","香蕉"
"Week 41","sandwich","n.","三明治"
"Week 41","apple","n.","蘋果"
"Week 41","cookie","n.","餅乾"
"Week 41","good","adj.","好的"
"Week 41","food","n.","食物"
"Week 42","rice","n.","米飯 / 稻米"
"Week 42","soup","n.","湯"
"Week 42","fish","n.","魚"
"Week 42","egg","n.","蛋 / 雞蛋"
"Week 42","chicken","n.","雞肉 / 雞"
"Week 42","don't","contraction","不要 / 不"
"Week 43","like","v.","喜歡"
"Week 43","juice","n.","果汁"
"Week 43","water","n.","水"
"Week 43","lemonade","n.","檸檬水"
"Week 43","tea","n.","茶"
"Week 43","milk","n.","牛奶"
"Week 44","frog","n.","青蛙"
"Week 44","fruit","n.","水果"
"Week 44","vegetable","n.","蔬菜"
"Week 44","drink","v./n.","喝 / 飲料"
"Week 44","circle","n.","圓形 / 圓圈"
"Week 44","star","n.","星星 / 星形"
"Week 45","square","n./adj.","正方形 / 正方形的"
"Week 45","triangle","n.","三角形"
"Week 45","rectangle","n.","長方形 / 矩形"
"Week 45","breakfast","n.","早餐"
"Week 45","lunch","n.","午餐"
"Week 45","dinner","n.","晚餐"
