week,word,pos,clue
"Week 19","sport","n.","運動"
"Week 19","rule","n.","規則"
"Week 19","fair","adj.","公平的"
"Week 19","take turn","v. ph.","輪流"
"Week 19","inside","adv./prep.","在裡面"
"Week 19","house","n.","房子"
"Week 20","put on","v. ph.","穿上 / 戴上"
"Week 20","take off","v. ph.","脫掉"
"Week 20","forget","v.","忘記"
"Week 20","dress","n./v.","洋裝 / 穿衣"
"Week 20","cut","v.","切 / 剪"
"Week 20","sometimes","adv.","有時候"
"Week 21","bookcase","n.","書櫃"
"Week 21","shower","n.","淋浴 / 蓮蓬頭"
"Week 21","tub","n.","浴缸"
"Week 21","stairs","n.","樓梯"
"Week 21","stove","n.","爐子"
"Week 21","table","n.","桌子"
"Week 2","cousin","n.","表親；堂親"
"Week 2","aunt","n.","阿姨；姑姑"
"Week 2","mom","n.","媽媽"
"Week 2","dad","n.","爸爸"
"Week 2","uncle","n.","叔叔；伯伯"
"Week 2","quiet","adj.","安靜的"
"Week 3","close","v./adj.","關閉；靠近的"
"Week 3","open","v./adj.","打開；開著的"
"Week 3","go","v.","去"
"Week 3","its","pron.","它的"
"Week 3","look","v.","看"
"Week 3","our","pron.","我們的"
"Week 4","monkey","n.","猴子"
"Week 4","like","v.","喜歡"
"Week 4","animal","n.","動物"
"Week 4","friend","n.","朋友"
"Week 4","bird","n.","鳥"
"Week 4","white","n./adj.","白色"
"Week 5","turtle","n.","烏龜"
"Week 5","dog","n.","狗"
"Week 5","horse","n.","馬"
"Week 5","goat","n.","山羊"
"Week 5","cow","n.","母牛"
"Week 5","chicken","n.","雞"
"Week 6","frog","n.","青蛙"
"Week 6","sheep","n.","綿羊"
"Week 6","duck","n.","鴨子"
"Week 6","cat","n.","貓"
"Week 6","see","v.","看見"
"Week 6","climb","v.","攀爬"
"Week 7","fly","v.","飛"
"Week 7","swim","v.","游泳"
"Week 7","crawl","v.","爬行"
"Week 7","want","v.","想要"
"Week 7","ride","v.","騎"
"Week 7","learn","v.","學習"
"Week 8","coloring","v.","著色"
"Week 8","counting","v.","數數"
"Week 8","cutting","v.","切割"
"Week 8","drawing","v.","畫畫"
"Week 8","erasing","v.","擦掉"
"Week 8","talking","v.","說話"
"Week 9","fun","adj./n.","有趣的；樂趣"
"Week 9","class","n.","班級"
"Week 9","walking","v.","走路"
"Week 9","jumping","v.","跳躍"
"Week 9","gluing","v.","黏貼"
"Week 9","marker","n.","馬克筆"
"Week 10","glue","n.","膠水"
"Week 10","paintbrush","n.","畫筆"
"Week 10","scissors","n.","剪刀"
"Week 10","notebook","n.","筆記本"
"Week 10","classroom","n.","教室"
"Week 10","paper","n.","紙"
"Week 11","art","n.","藝術"
"Week 11","girl","n.","女孩"
"Week 11","making","v.","製作"
"Week 11","some","det.","一些"
"Week 11","people","n.","人們"
"Week 11","favorite","adj.","最喜愛的"
"Week 12","boots","n.","靴子"
"Week 12","bathing suit","n.","泳衣"
"Week 12","suit","n.","套裝"
"Week 12","look at","v. ph.","注視；看"
"Week 12","raincoat","n.","雨衣"
"Week 12","cloudy","adj.","多雲的"
"Week 13","rainy","adj.","下雨的"
"Week 13","hot","adj.","熱的"
"Week 13","sunny","adj.","晴朗的"
"Week 13","cold","adj.","冷的"
"Week 13","gloves","n.","手套"
"Week 13","jacket","n.","夾克"
"Week 14","pants","n.","長褲"
"Week 14","shorts","n.","短褲"
"Week 14","sneakers","n.","運動鞋"
"Week 14","umbrella","n.","雨傘"
"Week 14","coat","n.","大衣"
"Week 14","jeans","n.","牛仔褲"
"Week 15","weather","n.","天氣"
"Week 15","snow","n./v.","雪；下雪"
"Week 15","summer","n.","夏天"
"Week 15","winter","n.","冬天"
"Week 15","sun","n.","太陽"
"Week 15","warm","adj.","溫暖的"
"Week 16","basketball","n.","籃球"
"Week 16","ride a bike","v. ph.","騎腳踏車"
"Week 16","soccer","n.","足球"
"Week 16","baseball","n.","棒球"
"Week 16","fly a kite","v. ph.","放風箏"
"Week 16","watch","v./n.","觀看；手錶"
"Week 17","throw","v.","丟"
"Week 17","catch","v.","接住"
"Week 17","bounce","v.","彈跳"
"Week 17","tag","n.","鬼抓人"
"Week 17","hide","v.","躲藏"
"Week 17","outside","adv./prep.","在外面"
"Week 18","Sunday","n.","星期日"
"Week 18","Monday","n.","星期一"
"Week 18","Tuesday","n.","星期二"
"Week 18","Wednesday","n.","星期三"
"Week 18","Thursday","n.","星期四"
"Week 18","Friday","n.","星期五"
"Week 22","under","prep.","在...下面"
"Week 22","above","prep.","在...上面"
"Week 22","behind","prep.","在...後面"
"Week 22","in front of","prep. ph.","在...前面"
"Week 22","between","prep.","在...之間"
"Week 22","next to","prep. ph.","在...旁邊"
"Week 23","window","n.","窗戶"
"Week 23","phone","n.","電話"
"Week 23","door","n.","門"
"Week 23","refrigerator","n.","冰箱"
"Week 23","sink","n.","水槽"
"Week 23","live","v.","居住"
